,id,trade_date,code,open,high,low,close,volume,turn,tradestatus,isST,totals,isHighOfYear,isHighOfHistory,isLowOfyear,isLowOfHistory,incOf250,incOf120,incOf50,rps120,rps250,rps50,fluOf250d,fluOf120d,fluOf80d,fluOf10d,fluOf5d,diffToHigh250,diffToHigh120,diffToHigh80,sps120,sps250,sps80,ma5,ma10,ma20,ma50,ma120,ma250,turn10ma,turn50ma,turnIncToYesterday,turnIncTo50Day,peTTM,curNumPeTTM1Y,curNumPeTTM3Y,curNumPeTTM5Y,curNumPeTTMALL,hk_holding_amount,hh_holding_ratio,diffTohigh250,diffTohigh120,diffTohigh80,turnIncToYesterDay
10,6051972,2011-04-29,600532,10.63,10.63,10.63,10.63,348332,0.229,1,0,54.851,0,0,0,0,,,,,,,,,,16.340545625587957,15.50329256820321,21.176,21.176,15.786,,,,9.5896,9.4987,,,,,2.8018,,,,-27.196,,,,,,,,,,-95.29580936729663
11,6051973,2011-05-03,600532,11.696,11.696,11.696,11.696,220661,0.145,1,0,60.351,0,0,0,0,,,,,,,,,,23.96545827633378,22.45212038303693,10.132,10.132,0.0,,,,10.1168,9.6932,,,,,1.9827,,,,-27.698,,,,,,,,,,-36.681222707423586
12,6051974,2011-05-04,600532,12.87,12.87,12.87,12.87,507453,0.334,1,0,66.409,0,0,0,0,,,,,,,,,,30.901320901320894,29.448329448329442,0.085,0.085,0.0,,,,10.8728,10.0228,,,,,1.629,,,,-30.479,,,,,,,,,,130.34482758620695
13,6051975,2011-05-05,600532,14.153,14.153,14.153,14.153,1443647,0.949,1,0,73.029,0,1,0,0,,,,,,,,,,37.165265314774246,34.79827598389035,0.0,0.0,0.0,,,,11.802399999999999,10.501500000000002,,,,,1.4708999999999999,,,,-33.518,,,,,,,,,,184.1317365269461
14,6051976,2011-05-06,600532,15.565,15.565,15.565,15.565,2072896,1.363,1,0,80.315,0,1,0,0,,,,,,,,,,42.86540314808865,31.705750080308377,0.0,0.0,0.0,,,,12.982800000000001,11.131200000000002,,,,,1.4636999999999998,,,,-36.86,,,,,,,,,,43.62486828240254
15,6051977,2011-05-09,600532,17.124,17.124,17.124,17.124,1305267,0.858,1,0,88.36,0,1,0,0,,,,,,,,,,47.547302032235464,31.698201354823635,0.0,0.0,0.0,,,,14.281600000000001,11.935599999999999,,,,,1.4153999999999998,,,,-40.553,,,,,,,,,,-37.05062362435804
16,6051978,2011-05-10,600532,18.841,18.841,18.762,18.841,45483604,29.904,1,0,97.22,0,1,0,0,,,,,,,,,,51.860304654742315,31.691523804468986,0.0,0.0,0.0,,,,15.7106,12.9137,,,,,4.316,,,,-44.62,,,,,,,,,,3385.3146853146854
17,6051979,2011-05-11,600532,18.457,18.457,16.956,16.956,48903334,32.152,1,0,87.493,0,0,0,0,,,,,,,,,,51.80722891566265,24.881906480547745,11.117,11.117,11.117,,,,16.5278,13.700299999999999,,,,,7.4437,,,,-40.156,,,,,,,,,,7.517388978063138
18,6051980,2011-05-12,600532,16.226,16.71,15.821,16.009,31791574,20.902,1,0,82.606,0,0,0,0,,,,,,,,,,51.02170797728359,17.387612122498812,17.69,17.69,17.69,,,,16.899,14.3507,,,,,9.170399999999999,,,,-37.912,,,,,,,,,,-34.99004727544165
19,6051981,2011-05-13,600532,16.088,16.443,15.693,16.078,21009989,13.813,1,0,82.962,0,0,0,0,,,,,,,,,,43.58048935831431,16.70824266227908,17.185,17.185,17.185,,,,17.001600000000003,14.9922,12.203999999999997,,,,10.0649,,,,-38.076,,,,,,,,,,-33.91541479284279
20,6051982,2011-05-16,600532,15.792,16.522,15.555,16.275,23395206,15.381,1,0,83.979,0,0,0,0,,,,,,,,,,37.922615572421854,17.44068786157848,15.767,15.767,15.767,,,,16.831799999999998,15.556700000000001,12.5277,,,,11.5801,,,,-38.543,,,,,,,,,,11.351625280532827
21,6051983,2011-05-17,600532,15.979,16.088,14.647,14.874,25897082,17.026,1,0,76.75,0,0,0,0,,,,,,,,,,31.691523804468986,20.642574632930597,26.671,26.671,26.671,,,,16.038400000000003,15.874500000000001,12.78385,,,,13.268200000000002,,,,-35.224,,,,,,,,,,10.695013328132108
22,6051984,2011-05-18,600532,14.696,15.071,14.509,14.923,11441700,7.522,1,0,77.003,0,0,0,0,,,,,,,,,,24.881906480547745,13.171753441053264,26.255,26.255,26.255,,,,15.631800000000002,16.0798,13.051300000000001,,,,13.987,,,,-35.341,,,,,,,,,,-55.82050980852813
23,6051985,2011-05-19,600532,14.923,15.417,14.854,15.042,16119040,10.598,1,0,77.617,0,0,0,0,,,,,,,,,,22.99241016931161,12.1837549933422,25.256,25.256,25.256,,,,15.438399999999998,16.1687,13.3351,,,,14.9519,,,,-35.622,,,,,,,,,,40.89337942036693
24,6051986,2011-05-20,600532,14.894,14.982,14.41,14.588,12848293,8.447,1,0,75.274,0,0,0,0,,,,,,,,,,23.517859986200314,12.78295605858854,29.154,29.154,29.154,,,,15.1404,16.071,13.601100000000002,,,,15.660300000000001,,,,-34.546,,,,,,,,,,-20.29628231741839
25,6051987,2011-05-23,600532,14.834,15.772,14.716,14.894,22561285,14.833,1,0,76.853,0,0,0,0,,,,,,,,,,23.517859986200314,10.430134261561417,26.501,26.501,26.501,,,,14.8642,15.847999999999999,13.8918,,,,17.0578,,,,-35.271,,,,,,,,,,75.60080501953358
26,6051988,2011-05-24,600532,14.42,14.509,13.541,14.055,16957897,11.149,1,0,72.524,0,0,0,0,,,,,,,,,,26.63488107493092,14.145320821709356,34.052,34.052,34.052,,,,14.700399999999998,15.369400000000002,14.141549999999999,,,,15.182300000000001,,,,-33.284,,,,,,,,,,-24.836513180071467
27,6051989,2011-05-25,600532,13.877,14.44,13.689,13.897,10528289,6.922,1,0,71.709,0,0,0,0,,,,,,,,,,18.96469180131658,14.145320821709356,35.576,35.576,35.576,,,,14.4952,15.0635,14.381899999999998,,,,12.6593,,,,-32.91,,,,,,,,,,-37.913714234460485
28,6051990,2011-05-26,600532,14.242,15.288,13.768,14.933,24426635,16.06,1,0,77.054,0,0,0,0,,,,,,,,,,18.042609853528617,14.145320821709356,26.17,26.17,26.17,,,,14.473399999999998,14.955899999999996,14.653299999999998,,,,12.1751,,,,-35.364,,,,,,,,,,132.01386882403926
29,6051991,2011-05-27,600532,14.489,14.913,13.443,13.453,14483224,9.522,1,0,69.417,0,0,0,0,,,,,,,,,,18.635758382762372,14.766675120466655,40.051,40.051,40.051,,,,14.2464,14.693400000000002,14.8428,,,,11.745999999999999,,,,-31.858,,,,,,,,,,-40.70983810709837
30,6051992,2011-05-30,600532,13.591,13.778,13.028,13.364,8588763,5.647,1,0,68.958,0,0,0,0,,,,,,,,,,19.02038786673297,14.782836211407638,40.983,40.983,40.983,,,,13.9404,14.402300000000002,14.979499999999998,,,,10.7726,,,,-31.648,,,,,,,,,,-40.695232094097875
31,6051993,2011-05-31,600532,13.255,14.064,13.255,13.946,9567364,6.29,1,0,71.961,0,0,0,0,,,,,,,,,,17.397920365204158,14.782836211407638,35.1,35.1,35.1,,,,13.918600000000001,14.3095,15.091999999999999,,,,9.699000000000002,,,,-33.027,,,,,,,,,,11.386576943509825
32,6051994,2011-06-01,600532,13.729,14.055,13.63,13.857,7686403,5.054,1,0,71.502,0,0,0,0,,,,,,,,,,17.397920365204158,14.782836211407638,35.967,35.967,35.967,,,,13.910599999999999,14.2029,15.14135,,,,9.452200000000001,,,,-32.817,,,,,,,,,,-19.65023847376788
33,6051995,2011-06-02,600532,13.472,13.818,13.038,13.788,12162564,7.996,1,0,71.146,0,0,0,0,,,,,,,,,,17.397920365204158,12.639978542211491,36.648,36.648,36.648,,,,13.6816,14.0775,15.123099999999999,,,,9.192000000000002,,,,-32.653,,,,,,,,,,58.21131776810448
34,6051996,2011-06-03,600532,13.699,14.015,13.502,13.877,9856012,6.48,1,0,71.605,0,0,0,0,,,,,,,,,,17.397920365204158,7.366325369738336,35.771,35.771,35.771,,,,13.766399999999999,14.0064,15.038700000000002,,,,8.9953,,,,-32.863,,,,,,,,,,-18.959479739869934
35,6051997,2011-06-08,600532,14.143,15.269,14.143,15.269,32572137,21.415,1,0,78.788,0,0,0,0,,,,,,,,,,14.782836211407638,14.611303949178073,23.394,23.394,23.394,,,,14.1474,14.043899999999999,14.94595,,,,9.6535,,,,-36.159,,,,,,,,,,230.47839506172835
36,6051998,2011-06-09,600532,15.002,15.653,14.686,15.19,31383497,20.633,1,0,78.38,0,0,0,0,,,,,,,,,,16.76994825273111,16.706062735577845,24.036,24.036,24.036,,,,14.396199999999999,14.1574,14.7634,,,,10.601899999999999,,,,-35.972,,,,,,,,,,-3.6516460424935797
37,6051999,2011-06-10,600532,14.824,15.15,13.946,14.499,17698012,11.636,1,0,74.815,0,0,0,0,,,,,,,,,,16.76994825273111,16.706062735577845,29.947,29.947,29.947,,,,14.524599999999998,14.2176,14.640550000000001,,,,11.0733,,,,-34.336,,,,,,,,,,-43.60490476421267
38,6052000,2011-06-13,600532,14.163,14.282,13.334,13.798,12758163,8.388,1,0,71.198,0,0,0,0,,,,,,,,,,16.76994825273111,14.815051427841313,36.549,36.549,36.549,,,,14.526599999999998,14.104099999999999,14.530000000000001,,,,10.3061,,,,-32.676,,,,,,,,,,-27.913372292884148
39,6052001,2011-06-14,600532,13.729,14.252,13.65,14.055,9467726,6.225,1,0,72.524,0,0,0,0,,,,,,,,,,16.76994825273111,14.815051427841313,34.052,34.052,34.052,,,,14.5622,14.1643,14.428850000000002,,,,9.9764,,,,-33.284,,,,,,,,,,-25.786838340486412
40,6052002,2011-06-15,600532,14.193,15.199,14.114,14.143,15592406,10.251,1,0,72.978,0,0,0,0,,,,,,,,,,16.706062735577845,14.815051427841313,33.218,33.218,33.218,,,,14.337,14.2422,14.322250000000002,,,,10.4368,,,,-33.495,,,,,,,,,,64.67469879518072
41,6052003,2011-06-16,600532,13.65,13.847,13.324,13.344,10562237,6.944,1,0,68.855,0,0,0,0,,,,,,,,,,16.706062735577845,12.336337916968223,41.195,41.195,41.195,,,,13.9678,14.181999999999999,14.245750000000001,,,,10.5022,,,,-31.601,,,,,,,,,,-32.260267290996
42,6052004,2011-06-17,600532,13.344,13.689,12.929,12.949,8486818,5.58,1,0,66.817,0,0,0,0,,,,,,,,,,17.402414872548395,14.935193104809525,45.502,45.502,45.502,,,,13.6578,14.0912,14.147050000000002,,,,10.5548,,,,-30.666,,,,,,,,,,-19.642857142857142
43,6052005,2011-06-20,600532,12.85,13.176,12.791,13.038,5582169,3.67,1,0,67.276,0,0,0,0,,,,,,,,,,18.2840350092634,15.843147575498385,44.508,44.508,44.508,,,,13.505799999999999,14.016199999999998,14.046850000000001,,,,10.122200000000001,,,,-30.877,,,,,,,,,,-34.229390681003586
44,6052006,2011-06-21,600532,13.068,13.295,12.86,13.255,6111016,4.018,1,0,68.396,0,0,0,0,,,,,,,,,,18.2840350092634,15.843147575498385,42.143,42.143,42.143,,,,13.3458,13.953999999999999,13.9802,,,,9.876000000000001,,,,-31.391,,,,,,,,,,9.482288828337872
45,6052007,2011-06-22,600532,13.275,13.324,12.969,13.028,4750406,3.123,1,0,67.224,0,0,0,0,,,,,,,,,,18.2840350092634,7.626200621073151,44.619,44.619,44.619,,,,13.122800000000002,13.729899999999997,13.886900000000002,,,,8.046800000000001,,,,-30.853,,,,,,,,,,-22.27476356396216
46,6052008,2011-06-23,600532,12.989,13.561,12.841,13.462,8106267,5.33,1,0,69.464,0,0,0,0,,,,,,,,,,15.843147575498385,6.5600116882168145,39.957,39.957,39.957,,,,13.1464,13.5571,13.857250000000002,,,,6.516500000000001,,,,-31.882,,,,,,,,,,70.66922830611591
47,6052009,2011-06-24,600532,13.374,14.015,13.245,13.729,11116326,7.309,1,0,70.842,0,0,0,0,,,,,,,,,,15.843147575498385,8.733499821619695,37.235,37.235,37.235,,,,13.3024,13.480099999999998,13.848849999999999,,,,6.083799999999999,,,,-32.513,,,,,,,,,,37.129455909943715
48,6052010,2011-06-27,600532,13.867,14.193,13.601,14.064,10155138,6.677,1,0,72.57,0,0,0,0,,,,,,,,,,15.843147575498385,9.525822588600017,33.966,33.966,33.966,,,,13.507600000000002,13.5067,13.8054,,,,5.912699999999999,,,,-33.308,,,,,,,,,,-8.6468737173348
49,6052011,2011-06-28,600532,14.015,14.074,13.768,14.015,7815853,5.139,1,0,72.317,0,0,0,0,,,42.99561269258239,,,,,,,15.843147575498385,9.525822588600017,34.435,34.435,34.435,,,,13.659600000000001,13.502699999999999,13.8335,13.353679999999999,,,5.8041,8.22158,,,-33.191,,,,,,,,,,-23.03429683989815
50,6052012,2011-06-29,600532,14.015,14.114,13.541,13.749,7114748,4.678,1,0,70.945,0,0,0,0,,,41.000922982258245,,,,,,,9.878108926935807,9.525822588600017,37.035,37.035,37.035,,,,13.803799999999999,13.4633,13.85275,13.432640000000001,,,5.2468,8.16762,,-42.72505332030628,-32.56,,,,,,,,,,-8.97061685152754
51,6052013,2011-06-30,600532,13.62,14.4,13.62,14.124,12096119,7.953,1,0,72.88,0,0,0,0,,,47.52454564445374,,,,,,,11.17361111111111,8.020833333333341,33.397,33.397,33.397,,,,13.9362,13.541300000000001,13.861650000000003,13.5201,,,5.3477000000000015,8.15996,,-2.5362869425830468,-33.448,,,,,,,,,,70.00855066267636
52,6052014,2011-07-01,600532,14.143,14.183,13.867,13.887,7076700,4.653,1,0,71.657,0,0,0,0,,,48.27033952594492,,,,,,,11.17361111111111,5.965277777777778,35.674,35.674,35.674,,,,13.9678,13.6351,13.86315,13.60636,,,5.255,8.175600000000001,,-43.08674592690446,-32.887,,,,,,,,,,-41.49377593360997
53,6052015,2011-07-04,600532,14.005,14.361,13.916,14.351,10252374,6.741,1,0,74.051,0,0,0,0,,,54.844626672421235,,,,,,,10.826388888888896,5.965277777777778,31.287,31.287,31.287,,,,14.025200000000002,13.7664,13.891299999999998,13.70606,,,5.5621,8.25982,,-18.38805203987496,-33.985,,,,,,,,,,44.874274661508714
54,6052016,2011-07-05,600532,14.311,14.686,14.143,14.578,13711798,9.015,1,0,75.222,0,0,0,0,,,60.55066079295154,,,,,,,12.562985155930823,7.796540923328337,29.243,29.243,29.243,,,,14.137800000000002,13.8987,13.926349999999996,13.812260000000004,,,6.0618,8.41142,,7.175720627432715,-34.523,,,,,,,,,,33.733867378727204
55,6052017,2011-07-06,600532,14.548,14.558,14.212,14.459,8426695,5.54,1,0,74.608,0,0,0,0,,,59.591611479028685,,,,,,,12.562985155930823,7.258613645648921,30.306,30.306,30.306,,,,14.2798,14.041799999999999,13.885849999999996,13.919839999999999,,,6.3035,8.4954,,-34.78823834074911,-34.243,,,,,,,,,,-38.54686633388797
56,6052018,2011-07-07,600532,14.41,14.953,14.114,14.143,13712386,9.015,1,0,72.978,0,0,0,0,,,55.588558855885594,,,,,,,11.422457032033707,7.262756637464045,33.218,33.218,33.218,,,,14.283600000000002,14.1099,13.833499999999997,14.021500000000001,,,6.672,8.65774,,4.126481044706819,-33.495,,,,,,,,,,62.725631768953086
57,6052019,2011-07-08,600532,13.916,14.055,13.571,13.985,9387632,6.172,1,0,72.163,0,0,0,0,,,47.13308784850077,,,,,,,9.44292115294589,9.24229251655186,34.723,34.723,34.723,,,,14.3032,14.135500000000002,13.8078,14.119399999999999,,,6.5583,8.76368,,-29.57296478191811,-33.121,,,,,,,,,,-31.53632834165281
58,6052020,2011-07-11,600532,13.985,14.41,13.68,14.183,9072669,5.965,1,0,73.184,0,0,0,0,,,46.776363448204485,,,,,,,9.44292115294589,9.24229251655186,32.842,32.842,32.842,,,,14.2696,14.147400000000001,13.82705,14.21296,,,6.4871,8.810279999999999,,-32.295000839927894,-33.588,,,,,,,,,,-3.3538561244329204
59,6052021,2011-07-12,600532,13.946,14.094,13.699,13.778,5712979,3.756,1,0,71.094,0,0,0,0,,,29.6142991533396,,,,,,,9.44292115294589,9.24229251655186,36.747,36.747,36.747,,,,14.1096,14.1237,13.8132,14.29526,,,6.3488,8.788039999999999,,-57.26009440102684,-32.63,,,,,,,,,,-37.032690695725066
60,6052022,2011-07-13,600532,13.729,14.153,13.729,14.143,5733232,3.769,1,0,72.978,0,0,0,0,,,20.921682626538995,,,,,,,9.24229251655186,9.24229251655186,33.218,33.218,33.218,,,,14.0464,14.163100000000004,13.8132,14.365520000000004,,,6.2579,8.858839999999999,,-57.45492637862293,-33.495,,,,,,,,,,0.3461128860489975
61,6052023,2011-07-14,600532,14.212,14.361,13.936,14.183,5959023,3.918,1,0,73.184,0,0,0,0,,,10.202020202020208,,,,,,,9.24229251655186,5.822345593337962,32.842,32.842,32.842,,,,14.054399999999998,14.169000000000002,13.85515,14.41526,,,5.8544,8.9343,,-56.14653638225714,-33.588,,,,,,,,,,3.9533032634651106
62,6052024,2011-07-15,600532,14.301,14.361,14.055,14.341,8921594,5.866,1,0,74.0,0,0,0,0,,,1.3283402812124554,,,,,,,9.24229251655186,5.065926439972245,31.379,31.379,31.379,,,,14.1256,14.214400000000003,13.92475,14.444680000000004,,,5.975699999999999,9.044939999999999,,-35.14605956479534,-33.962,,,,,,,,,,49.719244512506364
63,6052025,2011-07-18,600532,14.489,14.805,14.232,14.469,11893660,7.82,1,0,74.66,0,0,0,0,,,-7.04143912624478,,,,,,,9.24229251655186,7.470449172576831,30.216,30.216,30.216,,,,14.1828,14.2262,13.9963,14.451000000000004,,,6.0836,9.18236,,-14.836708645707628,-34.266,,,,,,,,,,33.310603477667925
64,6052026,2011-07-19,600532,14.282,14.41,14.064,14.163,4938804,3.247,1,0,73.081,0,0,0,0,,,-17.291520672740006,,,,,,,9.24229251655186,7.267814927389399,33.03,33.03,33.03,,,,14.259800000000002,14.184699999999998,14.0417,14.422960000000003,,,5.5068,9.22004,,-64.7832330445421,-33.541,,,,,,,,,,-58.478260869565226
65,6052027,2011-07-20,600532,14.341,14.805,14.242,14.745,13553937,8.911,1,0,76.084,0,0,0,0,,,-21.739822727031484,,,,,,,9.24229251655186,5.869638635596082,27.779,27.779,27.779,,,,14.380200000000002,14.213299999999998,14.12755,14.375380000000002,,,5.8439,9.381099999999998,,-5.011139418618272,-34.92,,,,,,,,,,174.43794271635355
66,6052028,2011-07-21,600532,14.706,14.894,14.212,14.252,8126035,5.343,1,0,73.54,0,0,0,0,,,-15.947157348431226,,,,,,,8.882771585873508,5.63314086209212,32.199,32.199,32.199,,,,14.394,14.2242,14.16705,14.283600000000003,,,5.476699999999999,8.88988,,-39.897951378421304,-33.752,,,,,,,,,,-40.040399506228255
67,6052029,2011-07-22,600532,14.311,14.607,13.946,14.252,8443538,5.551,1,0,73.54,0,0,0,0,,,-10.975076519457803,,,,,,,8.15093326171613,6.364979186249499,32.199,32.199,32.199,,,,14.3762,14.250900000000001,14.193200000000001,14.229520000000003,,,5.4146,8.357859999999999,,-33.58347711016933,-33.752,,,,,,,,,,3.892944038929444
