,id,totals,fluOf250d,fluOf120d,fluOf80d,fluOf10d,fluOf5d,incOf50,incOf120,incOf250,diffTohigh250,diffTohigh120,diffTohigh80,ma5,ma10,ma20,ma50,ma120,ma250,isHighOfHistory,isLowOfHistory,isHighOfYear,isLowOfyear
0,6050020,37.74024,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1,6050021,37.52868,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2,6050022,39.05088,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
3,6050023,42.95184,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0
4,6050024,44.680440000000004,,,,,16.0064672594988,,,,,,,7.8275999999999994,,,,,,1.0,0.0,0.0,0.0
5,6050025,44.9178,,,,,16.45031591039633,,,,,,,8.105799999999999,,,,,,0.0,0.0,0.0,0.0
6,6050026,42.83316,,,,,13.061458931648485,,,,,,,8.3114,,,,,,0.0,0.0,0.0,0.0
7,6050027,42.86412,,,,,4.641010913268236,,,,,,,8.459200000000001,,,,,,0.0,0.0,0.0,0.0
8,6050028,41.610240000000005,,,,,7.363584147041929,,,,,,,8.4072,,,,,,0.0,0.0,0.0,0.0
9,6050029,42.65256,,,,16.45031591039633,7.363584147041929,,,,,,,8.3286,8.0781,,,,,0.0,0.0,0.0,0.0
10,6050030,41.90952,,,,16.45031591039633,2.925243770314197,,,,,,,8.212,8.1589,,,,,0.0,0.0,0.0,0.0
11,6050031,42.564840000000004,,,,13.061458931648485,2.925243770314197,,,,,,,8.201600000000001,8.256499999999999,,,,,0.0,0.0,0.0,0.0
12,6050032,41.75988,,,,7.363584147041929,2.4437454633438174,,,,,,,8.1588,8.309000000000001,,,,,0.0,0.0,0.0,0.0
13,6050033,42.415200000000006,,,,7.363584147041929,2.0929107186063396,,,,,,,8.190000000000001,8.2986,,,,,0.0,0.0,0.0,0.0
14,6050034,40.74852,,,,9.282021826536472,4.267183901078922,,,,,,,8.116200000000001,8.2224,,,,,0.0,0.0,0.0,0.0
15,6050035,40.44924,,,,5.633802816901408,4.970299430233969,,,,,,,8.0596,8.1358,,,,,0.0,0.0,0.0,0.0
16,6050036,40.12416,,,,6.392199349945836,5.401459854014608,,,,,,,7.965000000000001,8.0833,,,,,0.0,0.0,0.0,0.0
17,6050037,39.25728,,,,7.960319380595214,7.4452554744525665,,,,,,,7.868,8.0134,,,,,0.0,0.0,0.0,0.0
18,6050038,37.23456,,,,12.702637309460437,8.623527921995695,,,,,,,7.667199999999999,7.9286,,,,,0.0,0.0,0.0,0.0
19,6050039,36.8166,,,,13.504667232391812,8.980737338946302,,,,,,,7.514799999999999,7.8155,7.9468000000000005,,,,0.0,1.0,0.0,0.0
20,6050040,39.01992,,,,13.504667232391812,8.243312757201647,,,,,,,7.4594,7.7595,7.959200000000001,,,,0.0,0.0,0.0,0.0
21,6050041,39.22632,,,,13.199513381995143,6.21713985278654,,,,,,,7.424600000000001,7.694800000000001,7.97565,,,,0.0,0.0,0.0,0.0
22,6050042,37.55964,,,,13.199513381995143,6.143120231518028,,,,,,,7.3588,7.6134,7.961200000000001,,,,0.0,0.0,0.0,0.0
23,6050043,38.27688,,,,9.649233886285936,6.143120231518028,,,,,,,7.3992,7.533199999999999,7.915900000000001,,,,0.0,0.0,0.0,0.0
24,6050044,38.60196,,,,8.980737338946302,4.24888187319127,,,,,,,7.4684,7.4916,7.856999999999999,,,,0.0,0.0,0.0,0.0
25,6050045,39.01992,,,,8.243312757201647,4.24888187319127,,,,,,,7.4684,7.4639,7.799850000000001,,,,0.0,0.0,0.0,0.0
26,6050046,38.7516,,,,6.21713985278654,3.7423961914837394,,,,,,,7.45,7.4373000000000005,7.760299999999999,,,,0.0,0.0,0.0,0.0
27,6050047,38.06532,,,,6.143120231518028,2.4464427400158755,,,,,,,7.469600000000002,7.414199999999999,7.713800000000001,,,,0.0,0.0,0.0,0.0
28,6050048,37.26036,,,,6.143120231518028,4.50938905051574,,,,,,,7.430199999999999,7.414700000000001,7.671650000000001,,,,0.0,0.0,0.0,0.0
29,6050049,37.5906,,,,5.011838989739545,4.50938905051574,,,,,,,7.391,7.4296999999999995,7.6226,,,,0.0,0.0,0.0,0.0
